DATE,POPTOTBRA647NWDB
2012-01-01,199287292
2013-01-01,201035904
2014-01-01,202763744
2015-01-01,204471759
2016-01-01,206163056
2017-01-01,207833825
2018-01-01,209469320
2019-01-01,211049519
2020-01-01,212559409
2021-01-01,213993441
